I0,I1,,
55.486115,49.349998,,
55.587341,49.349998,,
55.611736,49.275002,,
55.629539,49.549999,,
55.444626,50.75,,
55.50758,52.174999,,
55.504047,52.825001,,
55.69939,52.875,,
55.742992,51.849998,,
55.824303,51.275002,,
55.388851,50.450001,,
55.367912,50.200001,,
55.501072,50.174999,,
55.598259,50.224998,,
55.619713,49.974998,,
55.585888,50.049999,,
55.561199,49.974998,,
55.543179,49.625,,
55.628983,49.299999,,
55.642136,49.299999,,
55.65173,49.450001,,
55.559776,49.525002,,
55.492668,49.924999,,
55.44368,49.849998,,
55.457417,49.700001,,
55.467434,49.099998,,
55.524231,48.849998,,
55.466721,48.799999,,
54.03933,49.049999,,
54.531414,48.974998,,
54.841076,48.875,,
54.819687,49.525002,,
55.150429,50.849998,,
55.54026,51.974998,,
55.725815,52.924999,,
55.762283,52.775002,,
55.739422,52.150002,,
55.821693,51.200001,,
55.683823,50.974998,,
55.682156,50.75,,
55.581982,50,,
55.706787,49.974998,,
55.847351,49.974998,,
55.80151,50.025002,,
55.768055,50.049999,,
55.79311,49.5,,
56.157749,49.174999,,
55.780655,49.174999,,
55.70335,49.099998,,
55.844849,48.974998,,
55.89864,48.950001,,
55.789455,48.900002,,
55.808735,48.950001,,
55.773323,48.825001,,
55.796955,48.724998,,
55.764725,48.875,,
55.642246,48.599998,,
55.552853,48.275002,,
55.537086,48.400002,,
55.525589,48.724998,,
55.566669,49.400002,,
55.596649,50.724998,,
55.816452,51.599998,,
55.976868,51.5,,
55.945511,51.099998,,
55.823669,50.275002,,
55.932663,49.549999,,
55.814293,49.424999,,
55.727898,49.299999,,
55.763802,49.349998,,
55.740528,49.450001,,
55.773022,49.25,,
55.6483,49.224998,,
55.55727,48.875,,
55.490837,48.775002,,
55.491825,48.650002,,
55.492554,48.525002,,
55.542557,48.625,,
55.480095,48.799999,,
55.533466,48.599998,,
55.72086,48.400002,,
55.70919,48.625,,
55.651188,48.700001,,
55.757298,48.474998,,
55.686302,48.349998,,
55.634491,48.525002,,
55.695629,48.775002,,
55.839218,49.825001,,
55.845051,50.349998,,
55.700871,50.575001,,
55.298763,50.400002,,
55.302166,50.125,,
55.502567,49.900002,,
55.549866,49.400002,,
55.683353,49.099998,,
55.582851,48.825001,,
55.509506,49.125,,
55.604412,48.799999,,
55.673679,49.049999,,
55.674751,48.875,,
55.823978,48.775002,,
55.982361,48.900002,,
55.850567,48.674999,,
55.853333,48.599998,,
55.954311,48.549999,,
55.929054,48.724998,,
55.762177,48.924999,,
55.541431,48.950001,,
55.479275,48.724998,,
55.483387,48.700001,,
55.486389,48.700001,,
55.340145,48.650002,,
55.332367,48.650002,,
55.227734,48.724998,,
55.398758,49.075001,,
55.474106,49.849998,,
55.529099,50.299999,,
55.668186,50.700001,,
55.819183,50.825001,,
55.731468,50.099998,,
55.766407,49.674999,,
55.890873,49.825001,,
55.882751,49.575001,,
55.728386,49.325001,,
55.615723,49.275002,,
55.533493,49.25,,
55.522961,49.049999,,
55.31736,49.099998,,
55.414696,48.950001,,
55.485733,48.674999,,
55.7355,48.549999,,
55.769356,48.799999,,
55.695099,49.125,,
55.591431,48.900002,,
56.109509,48.900002,,
56.141285,48.849998,,
55.966549,48.625,,
55.937984,49.075001,,
55.867653,49.025002,,
55.865803,48.849998,,
55.814976,48.724998,,
55.777878,48.775002,,
55.65184,48.900002,,
55.213501,49.049999,,
55.289421,49.625,,
55.394299,50.674999,,
55.371891,50.625,,
55.355541,51,,
55.541519,50.474998,,
55.627773,49.900002,,
55.641254,49.75,,
55.750046,49.299999,,
55.681011,49.375,,
55.630623,49.299999,,
55.692806,49.549999,,
55.58976,49.400002,,
55.662983,49.349998,,
55.567989,49.174999,,
55.498661,49.25,,
55.250141,49.099998,,
55.464596,49.075001,,
55.472683,48.900002,,
55.429096,48.825001,,
55.496246,49.224998,,
55.446297,48.950001,,
55.558277,49.200001,,
55.541054,49.200001,,
55.577957,49,,
55.75333,48.849998,,
55.683407,48.924999,,
55.632378,48.974998,,
55.694088,49.049999,,
55.838089,49,,
55.794746,49.599998,,
55.664158,50.125,,
55.469894,50.325001,,
55.427063,50.525002,,
55.742153,50.650002,,
55.675251,49.849998,,
55.675903,49.75,,
55.577415,49.474998,,
55.505539,49.650002,,
55.601517,50.049999,,
55.622086,50.049999,,
55.58762,50.299999,,
55.710899,50.299999,,
55.850357,49.849998,,
55.754223,49.474998,,
55.78302,49.049999,,
55.754555,49.125,,
55.733776,49.325001,,
55.421738,49.575001,,
55.391918,49.849998,,
55.370155,49.325001,,
55.403748,49.349998,,
55.477745,49.25,,
55.53175,49.224998,,
55.472214,49.200001,,
55.577194,49.349998,,
55.653812,49.275002,,
55.709732,49.375,,
55.701073,49.424999,,
55.793701,50.299999,,
55.960266,51.275002,,
55.834438,51.900002,,
55.841564,52,,
55.797283,51.674999,,
55.666008,51.424999,,
55.669151,51.349998,,
55.671452,51.25,,
55.524689,51.025002,,
55.516537,50.924999,,
55.659023,50.825001,,
55.664059,50.650002,,
55.667728,50.674999,,
55.571453,50.325001,,
55.649624,50.174999,,
55.607719,50.075001,,
55.626606,49.950001,,
55.788834,49.950001,,
55.709324,50.025002,,
55.651287,50,,
55.707893,49.775002,,
55.749207,49.825001,,
55.729877,49.825001,,
55.61681,49.549999,,
55.633251,49.575001,,
55.546284,49.474998,,
55.730213,49.650002,,
55.716015,49.599998,,
55.705654,49.799999,,
55.599133,50,,
55.521385,50.674999,,
55.66256,51.825001,,
55.716114,52.674999,,
55.804684,52.700001,,
55.918804,52.700001,,
55.80418,52,,
55.720516,51.724998,,
55.560501,51.174999,,
55.592152,50.875,,
55.615253,50.575001,,
55.53315,50.5,,
55.473236,50.625,,
55.380024,50.75,,
54.124493,50.25,,
54.49461,50.099998,,
54.814217,50.075001,,
54.948521,50,,
55.046539,49.849998,,
55.266521,49.875,,
55.32811,49.900002,,
55.422543,49.625,,
55.6399,49.549999,,
55.600616,49.599998,,
55.522476,49.599998,,
55.613876,49.724998,,
55.779541,49.775002,,
55.752018,49.575001,,
55.632973,49.424999,,
55.645042,49.525002,,
55.505417,49.5,,
55.502472,50.125,,
55.599277,50.974998,,
55.719406,52.474998,,
55.70813,52.900002,,
55.699898,52.474998,,
55.891804,51.974998,,
55.833946,51.125,,
55.791729,50.625,,
55.909351,50.450001,,
55.698315,50.450001,,
55.643257,50.5,,
55.702034,50.575001,,
55.843884,50.650002,,
55.798977,50.424999,,
55.766197,50.275002,,
55.643318,49.900002,,
55.553638,49.700001,,
55.735584,49.924999,,
55.670456,49.599998,,
55.573444,49.849998,,
55.50264,49.700001,,
55.450962,49.650002,,
55.561687,49.575001,,
55.494061,49.450001,,
55.543659,49.5,,
55.530376,49.25,,
55.718601,49.25,,
55.658062,49.099998,,
55.712833,49.450001,,
55.703335,50.299999,,
55.795357,51.200001,,
55.763557,51.5,,
55.740349,51.599998,,
55.624454,50.700001,,
55.589352,50.049999,,
55.563732,49.25,,
55.594509,49.25,,
55.616974,49.375,,
55.534405,49.700001,,
55.622581,49.950001,,
55.538506,50,,
55.328697,49.674999,,
55.373489,49.224998,,
55.406185,49.125,,
55.430046,48.799999,,
55.546421,48.900002,,
55.581871,49.099998,,
55.657227,49.075001,,
55.563786,49.075001,,
55.594547,48.799999,,
55.468563,48.825001,,
55.673489,48.950001,,
55.625137,48.799999,,
55.540367,48.924999,,
55.478497,49.200001,,
55.334385,49.650002,,
55.476597,50.424999,,
55.382481,50.799999,,
55.462219,50.875,,
55.619381,50.700001,,
55.585648,49.900002,,
55.56102,49.849998,,
55.642014,49.650002,,
55.651642,49.474998,,
55.708153,49.375,,
55.699913,49.424999,,
55.59494,49.75,,
55.51833,49.650002,,
55.51189,49.599998,,
55.507198,49.25,,
55.553249,49.325001,,
55.586861,49.450001,,
55.413471,49.049999,,
55.435364,49,,
55.451347,49.150002,,
55.512486,48.974998,,
55.705547,49.049999,,
55.846447,49.25,,
55.751369,49.200001,,
55.780933,49.099998,,
55.753033,49.099998,,
55.73267,49.275002,,
55.618851,50.025002,,
55.634735,50.700001,,
55.547375,50.849998,,
55.533092,50.950001,,
55.572147,50.575001,,
55.600651,50.224998,,
55.522499,50.200001,,
55.366501,49.700001,,
55.500038,49.525002,,
55.548023,49.625,,
55.533562,49.599998,,
55.720924,49.575001,,
55.65976,49.224998,,
55.615116,49.325001,,
55.681492,49.224998,,
55.680458,49.25,,
55.729179,49.099998,,
55.616302,49.224998,,
55.53392,49.349998,,
55.424316,48.974998,,
55.047443,49.200001,,
55.267178,49.075001,,
55.27911,49.299999,,
55.089909,49.150002,,
55.298168,49,,
55.499649,49.025002,,
55.547737,49.299999,,
55.483879,49.700001,,
55.684666,50.275002,,
55.633297,50.924999,,
55.595798,51.525002,,
55.667393,50.950001,,
55.670166,50.325001,,
55.672188,49.849998,,
55.574707,49.724998,,
55.602516,49.849998,,
55.523861,49.700001,,
55.51593,49.924999,,
55.658581,49.75,,
55.564777,49.625,,
55.595268,49.799999,,
55.51857,49.349998,,
55.611027,49.25,,
55.678509,49.400002,,
55.67828,49.700001,,
55.628628,49.650002,,
55.592396,49.724998,,
55.565948,49.224998,,
55.645607,49.099998,,
55.654266,49.150002,,
55.660587,49.049999,,
55.665195,49.150002,,
55.66856,49.049999,,
55.572063,48.825001,,
55.551109,48.799999,,
55.337902,49.349998,,
54.934895,49.549999,,
55.036598,50.099998,,
55.209782,50.799999,,
55.484615,51.299999,,
55.58625,51.575001,,
55.314068,50.875,,
55.560726,50.424999,,
55.740753,50.125,,
55.674229,49.775002,,
55.724636,49.900002,,
55.711941,49.700001,,
55.752155,49.900002,,
55.732029,49.924999,,
55.717339,50.075001,,
55.558178,49.700001,,
55.491497,49.799999,,
55.591267,49.575001,,
55.614609,49.575001,,
55.582161,49.275002,,
55.509003,49.599998,,
55.604042,49.650002,,
55.623928,49.299999,,
